,year,counry,metabolite,daily mean,weekday mean,weekend mean
434,2020,FI,cocaine,341.83000000000015,252.20000000000002,409.06000000000006
435,2021,FI,amphetamine,666.29,621.9399999999999,699.54
436,2021,FI,methamphetamine,8.030000000000001,7.83,8.19
437,2021,FI,MDMA,74.02,38.88,100.36000000000001
438,2021,FI,cannabis,,,
439,2021,FI,cocaine,121.88000000000001,77.88000000000001,154.87
440,2011,FR,amphetamine,0.0,0.0,0.0
441,2011,FR,methamphetamine,0.0,0.0,0.0
442,2011,FR,MDMA,14.94,9.72,18.85
443,2011,FR,cannabis,123.59,100.18,141.14
444,2011,FR,cocaine,206.3,189.12,219.18
445,2012,FR,amphetamine,0.0,0.0,0.0
446,2012,FR,methamphetamine,0.0,0.0,0.0
447,2012,FR,MDMA,,,
448,2012,FR,cannabis,117.46,111.79,121.7
449,2012,FR,cocaine,215.42,136.88,274.32
450,2013,FR,amphetamine,0.0,0.0,0.0
451,2013,FR,methamphetamine,4.0,4.14,3.9
452,2013,FR,MDMA,26.06,10.17,37.97
453,2013,FR,cannabis,151.03,141.06,158.5
454,2013,FR,cocaine,242.66,195.67,277.91
455,2014,FR,amphetamine,0.0,0.0,0.0
456,2014,FR,methamphetamine,0.0,0.0,0.0
457,2014,FR,MDMA,19.06,2.41,31.55
458,2014,FR,cannabis,,,
459,2014,FR,cocaine,233.96,192.97,264.7
460,2015,FR,amphetamine,0.0,0.0,0.0
461,2015,FR,methamphetamine,0.0,0.0,0.0
462,2015,FR,MDMA,20.6,1.98,34.56
463,2015,FR,cannabis,,,
464,2015,FR,cocaine,161.56,124.19,189.59
465,2016,FR,amphetamine,0.0,0.0,0.0
466,2016,FR,methamphetamine,0.0,0.0,0.0
467,2016,FR,MDMA,30.98,18.05,40.67
468,2016,FR,cannabis,,,
469,2016,FR,cocaine,415.63,351.27,463.89
470,2017,FR,amphetamine,0.0,0.0,0.0
471,2017,FR,methamphetamine,0.0,0.0,0.0
472,2017,FR,MDMA,67.23,30.53,94.75999999999999
473,2017,FR,cannabis,,,
474,2017,FR,cocaine,1090.83,869.26,1257.96
475,2018,FR,amphetamine,0.0,0.0,0.0
476,2018,FR,methamphetamine,0.0,0.0,0.0
477,2018,FR,MDMA,61.03,17.990000000000002,93.33
478,2018,FR,cannabis,336.03000000000003,303.39,360.52
479,2018,FR,cocaine,783.36,706.2700000000001,841.19
480,2019,FR,amphetamine,0.0,0.0,0.0
481,2019,FR,methamphetamine,0.0,0.0,0.0
482,2019,FR,MDMA,64.03,27.93,91.12
483,2019,FR,cannabis,264.92,242.84,281.49
484,2019,FR,cocaine,530.3,463.28,580.56
485,2020,FR,amphetamine,0.0,0.0,0.0
486,2020,FR,methamphetamine,0.0,0.0,0.0
487,2020,FR,MDMA,32.29,23.72,38.71
488,2020,FR,cannabis,163.69,180.7,150.93
489,2020,FR,cocaine,410.58,416.87,405.85
490,2021,FR,amphetamine,,,
491,2021,FR,methamphetamine,0.0,0.0,0.0
492,2021,FR,MDMA,56.95,27.17,79.28
493,2021,FR,cannabis,117.74,128.1,109.96
494,2021,FR,cocaine,427.42,430.43,425.16
495,2011,GB,amphetamine,37.6,41.21,33.98
496,2011,GB,methamphetamine,8.18,7.37,8.99
497,2011,GB,MDMA,32.25,21.23,43.28
498,2011,GB,cannabis,,,
499,2011,GB,cocaine,392.71,361.2,424.22
500,2012,GB,amphetamine,,,
501,2012,GB,methamphetamine,,,
502,2012,GB,MDMA,,,
503,2012,GB,cannabis,,,
504,2012,GB,cocaine,,,
505,2013,GB,amphetamine,0.0,0.0,0.0
506,2013,GB,methamphetamine,8.96,5.44,11.6
507,2013,GB,MDMA,32.76,26.68,37.33
508,2013,GB,cannabis,,,
509,2013,GB,cocaine,710.65,799.35,644.13
510,2014,GB,amphetamine,82.99,80.44,84.9
511,2014,GB,methamphetamine,2.05,2.3,1.86
512,2014,GB,MDMA,99.28999999999999,57.0,131.01
513,2014,GB,cannabis,,,
